timestamp,cpu,memory,temperature,power
1,20,54,58,122
2,90,51,57,143
3,30,51,51,135
4,90,54,56,149
5,20,50,58,139
6,90,53,56,133
7,30,54,50,131
8,20,47,57,129
9,20,49,53,122
10,90,53,52,124
11,30,50,55,148
12,30,45,58,142
13,30,47,53,131
14,85,50,55,137
15,85,54,58,135
16,20,47,58,146
17,85,48,57,140
18,30,54,59,133
19,30,48,51,121
20,30,51,51,129
21,85,48,52,134
22,30,47,58,139
23,85,50,55,124
24,20,48,56,125
25,20,52,52,123
26,20,47,56,132
27,20,53,56,142
28,30,54,57,147
29,85,51,56,126
30,30,45,55,131
31,30,52,58,147
32,20,53,51,138
33,90,54,54,138
34,90,49,56,146
35,85,52,52,131
36,20,48,55,144
37,20,48,54,145
38,20,53,54,140
39,85,50,54,144
40,20,45,58,139
41,20,47,57,138
42,90,54,54,143
43,20,54,52,125
44,85,48,55,143
45,20,51,59,123
46,20,53,57,143
47,85,49,54,127
48,20,53,55,138
49,20,52,54,125
50,20,50,56,144
51,20,47,52,128
52,30,50,52,145
53,85,46,51,121
54,85,49,51,128
55,90,46,50,149
56,85,47,51,140
57,90,47,52,130
58,30,50,57,123
59,90,48,56,139
60,30,48,56,134
61,85,54,52,128
62,30,52,58,136
63,90,48,54,139
64,20,53,57,143
65,20,50,57,128
66,85,45,53,146
67,90,48,57,127
68,30,48,50,124
69,90,52,59,139
70,85,51,59,122
71,90,50,54,129
72,30,51,50,121
73,90,50,53,130
74,85,51,50,142
75,90,48,51,126
76,85,52,50,123
77,20,48,55,130
78,30,49,50,126
79,30,53,52,141
80,20,50,59,131
81,90,46,58,141
82,90,46,52,142
83,20,45,57,125
84,85,53,56,148
85,90,45,50,149
86,30,48,55,123
87,85,48,50,148
88,85,47,51,127
89,85,48,54,130
90,20,52,59,130
91,85,47,59,132
92,85,45,57,134
93,90,51,57,120
94,90,45,56,144
95,85,54,50,149
96,30,49,59,135
97,85,51,58,146
98,90,53,58,120
99,85,51,50,138
100,85,49,59,127
