timestamp,cpu,memory,temperature,power
1,47,55,94,148
2,39,58,82,151
3,26,42,93,148
4,29,58,94,138
5,42,42,80,133
6,25,51,80,155
7,46,55,81,149
8,22,44,90,143
9,41,45,83,140
10,44,53,84,135
11,35,41,94,138
12,45,47,83,150
13,46,40,86,136
14,23,51,93,142
15,26,55,91,140
16,28,44,89,149
17,43,43,92,144
18,36,57,91,152
19,39,57,87,157
20,22,51,91,142
21,43,52,83,145
22,26,42,82,158
23,45,57,86,133
24,40,50,86,149
25,33,49,88,159
26,28,48,93,145
27,48,55,94,145
28,31,59,93,135
29,35,57,81,140
30,41,49,83,136
31,36,53,84,150
32,40,55,90,145
33,28,51,94,158
34,49,44,91,151
35,30,41,86,145
36,25,45,90,156
37,32,49,84,155
38,37,45,82,132
39,23,54,80,142
40,34,56,83,141
41,23,47,87,135
42,21,56,84,145
43,34,44,91,138
44,30,41,85,155
45,30,47,84,158
46,25,59,84,142
47,23,51,91,136
48,31,42,92,155
49,35,52,86,134
50,37,41,80,147
51,23,44,84,153
52,27,54,83,158
53,28,43,88,134
54,43,40,94,130
55,36,46,92,150
56,35,45,88,146
57,28,55,91,159
58,45,55,82,143
59,43,59,94,152
60,35,42,88,159
61,38,48,86,147
62,41,54,83,153
63,26,56,93,151
64,43,50,81,141
65,45,40,94,146
66,36,46,89,159
67,22,52,94,153
68,45,52,88,136
69,41,42,90,133
70,47,44,83,151
71,48,42,91,135
72,34,57,88,152
73,44,53,80,150
74,46,58,84,132
75,45,41,85,143
76,25,48,85,135
77,34,53,80,135
78,33,50,82,151
79,20,52,90,130
80,36,45,87,142
81,26,40,84,157
82,21,41,87,132
83,42,49,84,134
84,48,49,80,131
85,28,41,80,132
86,48,41,84,152
87,28,49,83,151
88,41,46,80,139
89,25,45,93,138
90,23,42,83,154
91,25,51,83,137
92,48,41,91,140
93,24,47,80,152
94,39,45,93,157
95,35,56,82,152
96,45,45,91,146
97,37,55,93,136
98,43,44,80,143
99,40,56,90,139
100,32,52,91,152
