timestamp,cpu,memory,temperature,power
1,94,86,73,191
2,97,88,75,183
3,95,90,74,183
4,89,88,65,187
5,91,91,66,206
6,98,88,72,192
7,92,99,66,174
8,98,86,67,205
9,99,98,78,215
10,92,90,74,204
11,89,98,67,175
12,93,85,74,179
13,90,92,79,173
14,97,96,70,213
15,91,91,65,200
16,89,90,69,175
17,86,91,71,184
18,91,88,73,204
19,85,97,73,201
20,93,98,71,176
21,96,99,67,180
22,87,92,75,196
23,86,92,66,195
24,88,89,78,190
25,97,92,69,184
26,88,97,73,192
27,99,98,72,196
28,92,88,75,181
29,85,97,71,207
30,85,90,67,188
31,98,88,65,203
32,99,98,66,215
33,85,95,65,200
34,86,96,67,208
35,88,90,66,187
36,90,93,65,181
37,98,99,77,193
38,85,94,78,183
39,93,88,78,219
40,97,99,77,180
41,87,88,73,211
42,98,90,66,177
43,91,89,73,193
44,87,89,68,195
45,92,87,65,216
46,97,94,74,217
47,90,85,66,211
48,94,97,69,214
49,95,85,74,192
50,85,92,75,211
51,89,92,71,198
52,88,92,65,192
53,87,89,77,185
54,95,99,69,206
55,96,91,76,206
56,98,93,73,178
57,97,90,78,183
58,88,88,68,203
59,90,93,77,177
60,95,97,69,176
61,88,96,78,196
62,90,98,66,194
63,95,89,68,198
64,88,85,73,210
65,92,96,72,206
66,88,93,78,212
67,94,88,73,173
68,92,94,71,181
69,85,93,65,176
70,87,91,77,219
71,97,89,76,203
72,91,87,68,176
73,90,85,66,219
74,94,85,75,213
75,85,97,76,183
76,89,86,75,171
77,88,97,76,205
78,90,89,66,213
79,87,89,71,209
80,98,86,73,207
81,85,90,75,186
82,96,89,67,184
83,92,85,79,210
84,95,99,66,175
85,92,86,78,212
86,90,85,68,199
87,98,87,71,184
88,88,85,75,176
89,92,90,67,182
90,93,88,69,211
91,94,90,75,209
92,88,97,77,209
93,86,85,67,207
94,91,89,65,204
95,87,99,76,175
96,95,95,76,198
97,85,99,75,190
98,96,93,76,197
99,99,96,75,170
100,94,91,76,209
