timestamp,cpu,memory,temperature,power
1,38,47,61,257
2,26,58,61,225
3,23,50,58,219
4,28,47,58,204
5,30,49,60,253
6,25,45,63,212
7,26,55,61,243
8,20,48,55,250
9,41,58,57,222
10,26,55,55,237
11,22,45,62,235
12,36,50,62,216
13,31,54,59,258
14,31,49,62,228
15,44,54,64,215
16,35,47,55,251
17,38,57,59,249
18,46,55,63,201
19,35,52,55,258
20,26,55,55,225
21,35,45,61,201
22,26,49,64,220
23,22,55,56,232
24,23,46,55,243
25,44,56,61,228
26,39,49,60,231
27,22,47,58,253
28,29,47,60,202
29,31,50,61,231
30,27,55,61,229
31,46,51,63,234
32,34,57,58,245
33,41,46,62,227
34,23,52,59,209
35,35,54,57,259
36,32,55,59,213
37,37,52,61,227
38,36,50,63,228
39,32,53,55,207
40,32,58,56,214
41,44,57,59,234
42,28,53,63,257
43,24,51,58,219
44,38,49,63,200
45,20,45,60,205
46,44,56,58,223
47,37,57,55,202
48,47,51,56,254
49,28,59,63,237
50,49,58,59,200
51,33,47,64,248
52,43,50,60,252
53,35,57,63,236
54,43,46,60,206
55,30,51,55,256
56,24,57,64,223
57,29,51,63,226
58,28,47,57,207
59,42,59,60,253
60,30,53,64,229
61,45,54,56,233
62,20,57,64,205
63,33,49,61,236
64,29,49,57,247
65,27,48,58,256
66,42,50,60,252
67,34,58,57,203
68,39,46,55,203
69,26,53,59,208
70,41,57,64,202
71,24,55,60,203
72,20,46,62,255
73,43,54,62,245
74,35,49,63,213
75,37,55,55,253
76,45,51,58,246
77,41,50,55,233
78,39,52,60,209
79,36,49,59,255
80,38,49,57,255
81,46,49,55,223
82,34,50,56,259
83,41,45,57,209
84,46,48,61,219
85,21,59,58,225
86,37,53,60,252
87,44,50,62,230
88,42,50,63,201
89,20,45,64,221
90,44,46,63,209
91,42,47,57,239
92,28,56,56,243
93,34,50,64,214
94,29,48,62,233
95,22,53,62,237
96,32,48,57,224
97,27,58,61,245
98,37,50,59,233
99,22,50,63,203
100,31,50,62,206
